Postal Code|Borough|Neighborhood
M2L|North York|York Mills, Silver Hills
M2P|North York|York Mills West
M4C|East York|Woodbine Heights
M1G|Scarborough|Woburn
M2R|North York|Willowdale, Willowdale West
M2N|North York|Willowdale, Willowdale East
M2M|North York|Willowdale, Newtonbrook
M1R|Scarborough|Wexford, Maryvale
M9N|York|Weston
M9P|Etobicoke|Westmount
M9B|Etobicoke|West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale
M4A|North York|Victoria Village
M1X|Scarborough|Upper Rouge
M5S|Downtown Toronto|University of Toronto, Harbord
M5K|Downtown Toronto|Toronto Dominion Centre, Design Exchange
M4H|East York|Thorncliffe Park
M8X|Etobicoke|The Kingsway, Montgomery Road, Old Mill North
M4K|East Toronto|The Danforth West, Riverdale
M4E|East Toronto|The Beaches
M5R|Central Toronto|The Annex, North Midtown, Yorkville
M4V|Central Toronto|Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park
M4M|East Toronto|Studio District
M5W|Downtown Toronto|Stn A PO Boxes
M1W|Scarborough|Steeles West, L'Amoreaux West
M4X|Downtown Toronto|St. James Town, Cabbagetown
M5C|Downtown Toronto|St. James Town
M9V|Etobicoke|South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens
M1J|Scarborough|Scarborough Village
M6N|York|Runnymede, The Junction North
M6S|West Toronto|Runnymede, Swansea
M1C|Scarborough|Rouge Hill, Port Union, Highland Creek
M5N|Central Toronto|Roselawn
M4W|Downtown Toronto|Rosedale
M5H|Downtown Toronto|Richmond, Adelaide, King
M5A|Downtown Toronto|Regent Park, Harbourfront
M7A|Downtown Toronto|Queen's Park, Ontario Provincial Government
M3A|North York|Parkwoods
M4B|East York|Parkview Hill, Woodbine Gardens
M6R|West Toronto|Parkdale, Roncesvalles
M8Y|Etobicoke|Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East
M3J|North York|Northwood Park, York University
M9W|Etobicoke|Northwest, West Humber - Clairville
M4R|Central Toronto|North Toronto West, Lawrence Park
M6L|North York|North Park, Maple Leaf Park, Upwood Park
M8V|Etobicoke|New Toronto, Mimico South, Humber Bay Shores
M4T|Central Toronto|Moore Park, Summerhill East
M8Z|Etobicoke|Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West
M1V|Scarborough|Milliken, Agincourt North, Steeles East, L'Amoreaux East
M1B|Scarborough|Malvern, Rouge
M6J|West Toronto|Little Portugal, Trinity
M4G|East York|Leaside
M4N|Central Toronto|Lawrence Park
M6A|North York|Lawrence Manor, Lawrence Heights
M9R|Etobicoke|Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens
M5T|Downtown Toronto|Kensington Market, Chinatown, Grange Park
M1K|Scarborough|Kennedy Park, Ionview, East Birchmount Park
M9A|Etobicoke|Islington Avenue, Humber Valley Village
M4L|East Toronto|India Bazaar, The Beaches West
M6C|York|Humewood-Cedarvale
M9M|North York|Humberlea, Emery
M9L|North York|Humber Summit
M2H|North York|Hillcrest Village
M6P|West Toronto|High Park, The Junction South
M5J|Downtown Toronto|Harbourfront East, Union Station, Toronto Islands
M1E|Scarborough|Guildwood, Morningside, West Hill
M1L|Scarborough|Golden Mile, Clairlea, Oakridge
M6B|North York|Glencairn
M5B|Downtown Toronto|Garden District, Ryerson
M5P|Central Toronto|Forest Hill North & West, Forest Hill Road Park
M5X|Downtown Toronto|First Canadian Place, Underground city
M2J|North York|Fairview, Henry Farm, Oriole
M9C|Etobicoke|Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood
M4J|East York|East Toronto, Broadview North (Old East York)
M6H|West Toronto|Dufferin, Dovercourt Village
M3K|North York|Downsview
M3L|North York|Downsview
M3M|North York|Downsview
M3N|North York|Downsview
M1P|Scarborough|Dorset Park, Wexford Heights, Scarborough Town Centre
M3B|North York|Don Mills
M3C|North York|Don Mills
M6M|York|Del Ray, Mount Dennis, Keelsdale and Silverthorn
M4P|Central Toronto|Davisville North
M4S|Central Toronto|Davisville
M5L|Downtown Toronto|Commerce Court, Victoria Hotel
M5V|Downtown Toronto|CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport
M1M|Scarborough|Cliffside, Cliffcrest, Scarborough Village West
M1T|Scarborough|Clarks Corners, Tam O'Shanter, Sullivan
M4Y|Downtown Toronto|Church and Wellesley
M6G|Downtown Toronto|Christie
M5G|Downtown Toronto|Central Bay Street
M1H|Scarborough|Cedarbrae
M7R|Mississauga|Canada Post Gateway Processing Centre
M6E|York|Caledonia-Fairbanks
M7Y|East Toronto|Business reply mail Processing Centre, South Central Letter Processing Plant Toronto
M6K|West Toronto|Brockton, Parkdale Village, Exhibition Place
M1N|Scarborough|Birch Cliff, Cliffside West
M5E|Downtown Toronto|Berczy Park
M5M|North York|Bedford Park, Lawrence Manor East
M2K|North York|Bayview Village
M3H|North York|Bathurst Manor, Wilson Heights, Downsview North
M8W|Etobicoke|Alderwood, Long Branch
M1S|Scarborough|Agincourt
M1A|Not assigned|
M2A|Not assigned|
M8A|Not assigned|
M2B|Not assigned|
M7B|Not assigned|
M8B|Not assigned|
M2C|Not assigned|
M7C|Not assigned|
M8C|Not assigned|
M2E|Not assigned|
M3E|Not assigned|
M7E|Not assigned|
M8E|Not assigned|
M9E|Not assigned|
M2G|Not assigned|
M3G|Not assigned|
M7G|Not assigned|
M8G|Not assigned|
M9G|Not assigned|
M7H|Not assigned|
M8H|Not assigned|
M9H|Not assigned|
M7J|Not assigned|
M8J|Not assigned|
M9J|Not assigned|
M7K|Not assigned|
M8K|Not assigned|
M9K|Not assigned|
M7L|Not assigned|
M8L|Not assigned|
M7M|Not assigned|
M8M|Not assigned|
M7N|Not assigned|
M8N|Not assigned|
M3P|Not assigned|
M7P|Not assigned|
M8P|Not assigned|
M3R|Not assigned|
M8R|Not assigned|
M2S|Not assigned|
M3S|Not assigned|
M7S|Not assigned|
M8S|Not assigned|
M9S|Not assigned|
M2T|Not assigned|
M3T|Not assigned|
M6T|Not assigned|
M7T|Not assigned|
M8T|Not assigned|
M9T|Not assigned|
M2V|Not assigned|
M3V|Not assigned|
M6V|Not assigned|
M7V|Not assigned|
M2W|Not assigned|
M3W|Not assigned|
M6W|Not assigned|
M7W|Not assigned|
M2X|Not assigned|
M3X|Not assigned|
M6X|Not assigned|
M7X|Not assigned|
M9X|Not assigned|
M1Y|Not assigned|
M2Y|Not assigned|
M3Y|Not assigned|
M5Y|Not assigned|
M6Y|Not assigned|
M9Y|Not assigned|
M1Z|Not assigned|
M2Z|Not assigned|
M3Z|Not assigned|
M4Z|Not assigned|
M5Z|Not assigned|
M6Z|Not assigned|
M7Z|Not assigned|
M9Z|Not assigned|
